wages,gender,race,union,edu,exp,age
15,0,0,1,12,29,47
18.13,0,0,1,14,22,42
6.25,0,0,0,12,22,40
5.8,0,0,0,12,3,21
4.25,1,0,0,12,1,19
6.35,1,0,0,12,44,62
14.43,1,0,1,18,21,45
11,0,0,0,0,51,57
12.03,1,1,1,16,41,63
9,1,1,0,12,15,33
6.5,1,0,0,16,4,26
9.79,1,0,0,16,8,30
6.15,0,0,0,12,21,39
12.22,0,0,1,16,9,31
6.2,1,0,0,12,26,44
22.16,0,0,0,12,40,58
12.88,0,0,1,12,24,42
12.2,0,0,0,12,26,44
28.84,0,0,0,18,15,39
6,1,0,0,12,4,22
13,1,0,0,14,31,51
5,1,1,0,10,26,42
9.52,1,0,0,12,44,62
7,1,0,0,12,13,31
9.5,0,0,0,12,20,38
2,0,0,0,11,1,18
15.82,0,0,0,12,9,27
30,1,0,0,20,17,43
9.62,1,0,0,14,5,25
14.84,1,0,0,12,44,62
11.5,0,0,0,16,4,26
31.25,0,0,0,16,39,61
33.56,0,0,0,18,17,41
5,1,0,0,16,22,44
29.58,0,0,0,16,31,53
9.13,1,0,0,12,33,51
8.89,0,0,0,16,16,38
5.25,0,0,0,12,5,23
11,1,0,1,12,18,36
15.35,0,0,0,12,23,41
10.85,1,0,0,18,18,42
11.32,0,0,0,12,13,31
6.65,1,0,0,12,23,41
5,1,0,0,12,1,19
10.21,1,0,1,12,12,30
5.51,1,0,0,12,22,40
10,0,0,0,16,37,59
20,0,0,0,12,20,38
1.15,0,0,0,12,43,61
14.43,0,0,0,12,16,34
9.3,1,0,0,12,24,42
8,0,0,0,12,6,24
7.96,1,0,0,12,30,48
11,0,0,1,12,19,37
5,0,0,0,12,29,47
33.65,0,0,0,16,27,49
5.5,1,0,0,12,13,31
14.86,0,0,0,12,17,35
4.5,1,0,0,11,1,18
12.3,0,0,1,16,18,40
42.73,0,0,0,16,24,46
18.66,1,0,1,12,31,49
11,1,0,0,12,26,44
10,1,0,0,16,2,24
7,0,0,1,12,34,52
11.72,0,0,0,12,32,50
5,1,0,0,12,3,21
18.25,0,0,0,12,25,43
5.5,0,0,0,12,35,53
6,1,0,0,12,14,32
5.45,1,0,0,12,18,36
5.83,1,0,0,12,46,64
14.43,0,0,0,12,27,45
6.73,1,0,0,12,12,30
12.57,0,1,1,12,28,46
5,0,0,0,12,6,24
8.4,0,1,0,14,30,50
4.7,1,0,0,11,1,18
10.25,1,0,0,12,11,29
12.41,0,0,1,12,8,26
5.45,1,0,0,12,39,57
48.07,0,0,0,20,37,63
19,1,0,1,14,14,34
8.87,0,0,0,14,25,45
7.5,0,0,0,12,10,28
10.33,1,0,0,12,42,60
10,0,0,0,18,20,44
10.13,1,0,0,16,2,24
14.63,0,0,0,16,30,52
11.68,1,0,0,12,19,37
12.5,0,0,0,14,9,29
6.92,1,0,0,11,28,45
13,0,0,0,16,5,27
11.77,0,0,1,12,36,54
6.5,1,1,0,12,7,25
17.75,0,0,0,18,9,33
9,1,0,0,14,10,30
13,1,0,0,12,33,51
13.45,0,0,0,16,12,34
11,1,0,0,12,21,39
7.55,0,0,0,16,9,31
7,1,0,0,12,27,45
20.2,0,0,0,16,29,51
16.35,0,0,1,12,34,52
13.46,0,0,0,12,19,37
12.5,0,0,0,12,29,47
9.5,0,0,0,12,14,32
20.18,0,0,0,18,17,41
5,1,1,0,12,6,24
5.25,1,0,0,12,6,24
15,0,0,0,11,8,25
4.25,0,0,0,16,16,38
7.5,0,0,0,10,6,22
15,0,0,0,12,34,52
7.25,0,0,0,12,4,22
18,0,0,1,12,6,24
23.08,0,0,0,12,16,34
9.98,0,0,0,12,16,34
6,1,0,0,16,1,23
6.35,1,0,0,12,21,39
6.15,0,0,0,12,5,23
13,0,0,1,12,21,39
9.63,1,0,0,12,7,25
14.4,1,0,0,12,18,36
6.25,1,0,0,16,19,41
10.93,1,0,0,12,17,35
14.44,0,0,0,14,19,39
6,0,0,0,12,5,23
4.75,0,0,0,11,1,18
22.76,0,0,0,16,14,36
14.4,1,0,1,18,4,28
5.75,1,1,0,16,18,40
25.4,1,0,0,18,18,42
15.75,1,0,0,12,9,27
11,0,0,0,12,29,47
6,1,0,1,12,3,21
7.5,1,1,0,12,14,32
13.7,0,1,0,14,27,47
7.5,0,1,0,11,2,19
7.2,1,1,0,12,16,34
9,0,1,0,12,3,21
17,0,0,1,12,38,56
4.75,0,0,0,12,42,60
5.6,0,0,0,12,7,25
9.56,1,0,0,12,34,52
12.2,0,0,1,12,21,39
12.5,0,0,0,20,8,34
27.2,0,0,1,16,23,45
29.97,0,0,1,18,22,46
9,0,0,0,18,36,60
7.74,0,0,0,12,14,32
22.22,1,0,1,20,4,30
13.65,0,0,0,12,17,35
4.85,1,0,0,12,2,20
12.98,1,0,0,16,26,48
5,1,0,0,12,38,56
16,0,0,0,12,22,40
11.25,1,0,0,16,4,26
6.5,0,1,0,9,11,26
6.2,1,0,0,12,1,19
5,1,0,0,12,23,41
6.94,1,0,0,11,22,39
50,1,0,0,10,36,52
10.84,0,0,0,12,11,29
34.96,0,0,0,20,20,46
5.9,1,1,0,12,13,31
4.4,1,1,0,10,17,33
6,0,0,0,12,22,40
13,0,0,0,10,29,45
5.7,1,0,0,11,1,18
8.65,0,0,0,16,13,35
7.45,1,0,0,12,30,48
14.07,0,0,0,12,23,41
6,0,0,0,14,3,23
9.93,0,1,1,12,13,31
12.2,1,1,0,16,33,55
7.08,1,0,0,14,20,40
8.98,1,0,0,12,16,34
13.45,0,0,0,16,4,26
5.75,1,0,0,12,5,23
5.05,0,0,0,16,17,39
13.2,1,0,0,16,15,37
31.25,0,0,0,14,20,40
5.75,0,0,0,11,5,22
6.5,1,0,0,16,1,23
6.25,1,1,1,14,17,37
18.75,0,1,1,12,26,44
5.3,1,1,0,12,20,38
2.08,1,1,0,12,9,27
9,0,1,0,12,5,23
11.75,0,0,0,16,10,32
8.08,1,0,1,12,24,42
9,0,0,0,12,18,36
10,0,0,0,16,26,48
7.7,0,0,0,12,6,24
9,1,1,0,12,30,48
8,0,1,1,12,6,24
18,0,0,1,12,17,35
11.25,0,1,1,12,9,27
7.5,0,0,0,12,8,26
7,1,1,0,10,37,53
7.97,1,1,0,12,15,33
8.69,1,0,0,12,21,39
12.38,1,0,0,14,13,33
18.97,0,0,0,12,14,32
4.25,1,0,0,12,5,23
11,1,0,0,14,27,47
4.35,0,1,0,12,4,22
5.5,1,0,0,12,37,55
2.78,1,0,0,0,40,46
11,0,0,0,14,28,48
10.7,1,0,0,12,12,30
14.17,0,0,0,14,31,51
4.75,1,0,0,0,39,45
24.03,0,0,0,20,7,33
8,1,0,0,14,3,23
9.82,1,0,0,18,26,50
3.84,1,0,0,16,27,49
3.84,1,0,0,16,12,34
6.91,0,0,0,12,24,42
5,0,1,0,9,3,18
15,0,0,0,12,24,42
5.75,1,0,0,12,22,40
13.8,1,0,0,12,8,26
16,1,0,0,12,22,40
11.25,0,1,0,16,4,26
19,0,0,0,12,21,39
9.5,1,0,0,12,17,35
5.75,1,0,0,12,22,40
9.5,1,0,1,12,10,28
14,0,0,0,12,19,37
19.23,0,0,0,7,32,45
17.5,1,0,0,12,5,23
10,1,0,0,12,13,31
5.5,1,0,0,12,23,41
7,1,1,0,12,4,22
8,0,0,0,12,5,23
7,1,0,0,16,11,33
8,0,0,0,12,3,21
4.25,1,1,0,12,23,41
13.75,0,0,0,16,17,39
11,0,1,0,12,15,33
4.5,1,1,0,12,27,45
7.5,0,0,0,12,16,34
31.47,0,0,0,12,20,38
8,1,0,0,12,30,48
38.75,1,0,0,16,7,29
9.25,0,0,0,12,21,39
14,0,0,0,10,23,39
8,0,0,0,12,13,31
11.05,1,0,0,14,31,51
7,1,0,0,12,25,43
4.5,1,0,0,12,3,21
6.4,1,0,0,16,1,23
14.5,0,0,0,12,17,35
5,1,0,0,12,16,34
7.25,1,0,0,12,2,20
10,1,0,1,12,19,37
2.12,1,0,0,10,25,41
6.9,1,0,0,12,19,37
13.5,1,0,0,20,3,29
2.9,1,0,1,12,23,41
7.65,1,0,0,12,13,31
15,1,0,0,18,35,59
20,0,0,0,16,4,26
7.7,1,0,0,12,21,39
11,0,0,0,12,15,33
7,1,0,0,12,16,34
9,0,0,1,12,12,30
7.69,0,0,0,12,12,30
13,1,0,0,14,12,32
8.44,1,0,0,12,32,50
16.16,1,0,1,16,17,39
12,1,0,0,18,3,27
8.15,1,1,0,12,39,57
6.97,1,0,1,9,32,47
15.84,1,0,0,16,8,30
11.5,0,0,0,12,16,34
16,1,1,0,16,14,36
14.5,1,1,1,16,23,45
7.5,0,1,0,14,11,31
8.52,1,0,0,10,16,32
16.83,0,0,0,18,7,31
7.95,1,0,0,11,33,50
6.43,1,0,0,12,35,53
6,1,1,0,12,35,53
6,1,1,0,16,5,27
9.11,1,0,0,12,3,21
5.75,1,0,0,12,11,29
17.33,1,0,0,12,26,44
4,1,0,0,12,35,53
11,0,0,0,12,35,53
8,0,1,0,12,24,42
6,1,0,0,16,2,24
9.24,0,0,0,16,21,43
8.1,0,0,0,12,13,31
6,1,1,0,12,3,21
9,1,1,0,12,9,27
6,1,1,0,12,3,21
9,1,1,1,12,19,37
13,0,0,0,11,19,36
4.5,1,1,0,12,21,39
12.5,1,0,0,18,6,30
8.33,0,0,0,18,30,54
10.1,1,0,0,14,13,33
11,0,0,0,12,6,24
9.61,0,0,0,16,31,53
5,1,0,0,12,10,28
5.75,1,0,0,10,2,18
4.33,0,0,0,18,7,31
18,0,1,1,16,17,39
10,0,0,1,12,24,42
19.23,0,0,0,16,34,56
18,1,1,1,16,9,31
19.25,1,1,0,12,15,33
17.5,0,0,1,12,16,34
5,0,0,0,12,1,19
18.28,1,0,0,16,9,31
5.1,1,0,0,12,34,52
8,1,0,0,16,1,23
15.32,0,0,0,12,24,42
5.25,1,0,0,12,9,27
11.33,0,0,1,12,17,35
20.25,0,0,0,16,22,44
15.91,1,0,1,18,19,43
14,0,0,0,12,30,48
12.3,0,0,0,20,5,31
14,0,0,1,12,18,36
25,1,0,0,18,35,59
4.8,1,0,0,10,35,51
4.25,1,0,0,7,35,48
10,0,0,0,10,32,48
5.2,1,0,0,12,4,22
9,0,0,0,14,6,26
5.25,0,0,0,11,1,18
12,1,0,0,12,19,37
15,0,0,1,12,15,33
10.44,1,0,0,14,10,30
7.5,1,0,0,14,31,51
6,0,0,0,12,1,19
7.56,1,0,0,14,6,26
8,1,0,0,12,6,24
15,0,0,0,14,28,48
18,0,0,0,12,28,46
4.25,1,0,0,12,0,18
6,0,0,0,12,37,55
22.22,0,0,0,12,20,38
6,1,0,0,12,16,34
1.67,0,0,0,16,10,32
13.35,0,0,1,16,20,42
10.5,0,0,0,12,12,30
27.88,0,0,0,7,39,52
5.25,1,0,0,12,5,23
6.83,1,0,0,16,13,35
14.75,0,1,0,12,23,41
5,1,0,0,12,3,21
4,1,0,0,12,14,32
9.62,0,0,1,16,5,27
12,0,0,0,12,10,28
9,1,0,0,12,23,41
5,1,1,0,10,38,54
12.1,0,0,1,16,5,27
12,0,0,0,12,23,41
9.72,1,0,0,12,19,37
12.98,0,0,0,12,45,63
12.5,0,1,1,7,47,60
10,0,1,1,12,18,36
6.05,1,0,0,11,21,38
10.85,1,1,0,12,27,45
24.03,0,0,1,16,36,58
15.81,1,0,0,12,12,30
12.98,1,1,0,14,17,37
2.13,1,0,0,12,10,28
16.58,0,0,0,12,18,36
21.45,0,0,0,16,27,49
13.14,1,0,0,12,30,48
1.67,1,0,0,10,45,61
7,0,0,0,12,7,25
14.9,0,0,0,16,9,31
5.9,1,0,0,12,31,49
10,0,0,1,12,20,38
